BFS,660800
BFS,15601
BFS,15099
BFS,373100
BFS,35900
BFS,43100
BFS,682000
BFS,172800
BFS,583700
BFS,35800
BFS,30600
BFS,34100
BFS,252400
BFS,117900
BFS,292000
BFS,28700

BFS,740100
BFS,57100
BFS,1672100
BFS,32900
BFS,53600
BFS,36300
BFS,589400
BFS,107300
BFS,46000
BFS,83700
BFS,909200
BFS,314300
BFS,1283100
BFS,440800
BFS,194800
BFS,701200
=======
BFS,2603500
BFS,35000
BFS,451000
BFS,127000
BFS,1887200
BFS,230700
BFS,82500
BFS,1608500
BFS,115200
BFS,75300
BFS,171200
BFS,141600
BFS,81000
>>>>>>> 01b4eb50e9025f21dc4f1233719808ab35719e1c
BFS,1347900
BFS,1372900
BFS,607500
BFS,4542800
BFS,9604700
BFS,45708100
BFS,99546900
BFS,78284400
BFS,63060200
BFS,65506700
BFS,61493100
BFS,62436500
BFS,63200400
BFS,45433700
BFS,40505900
BFS,39027700
BFS,40091400
BFS,37928700
BFS,38881100
BFS,38715000
BFS,39204900
BFS,37229700
BFS,38271100
BFS,36647900
BFS,2730300
BFS,2086900
BFS,1464000
BFS,92900
BFS,90200
BFS,33500
BFS,1262300
BFS,41800
BFS,128600
BFS,118500
BFS,35800
BFS,142400
BFS,50600
BFS,31800
BFS,60800
